0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9
TIC 120578185,tic120578185,,,,,,,,,kepler354,2massj19030034+4120083,kic6026438,koi2045,wisej190300.36+412008.3,,,
TIC 120578712,tic120578712,,,,,,,,,kepler1439,2massj19025755+4058481,kic5688790,koi3144,,,,
TIC 120578889,tic120578889,,,,,,,,,kepler1211,2massj19025298+4051250,kic5602588,koi2369,wisej190252.98+405124.9,,,
TIC 120610833,tic120610833,,,,,,,,,wasp45,1swaspj002056.99355953.8,2massj002056993559537,tyc6996005831,wasp45a,wisej002057.04355954.1,,
TIC 120627712,tic120627712,,,,,,,,,kepler1373,2massj19030049+3914571,kic4138951,koi2866,wisej190300.48+391457.0,,,
TIC 120629799,tic120629799,,,,,,,,,kepler98,2massj19023879+3757522,kic2692377,koi299,wisej190238.80+375752.3,,,
TIC 120686458,tic120686458,,,,,,,,,kepler1369,2massj19031133+4056102,kic5688910,koi2856,wisej190311.33+405610.2,,,
TIC 120686620,tic120686620,,,,,,,,,kepler599,2massj19033876+4104099,kic5774349,koi557,wisej190338.77+410410.1,,,
TIC 120688631,tic120688631,,,,,,,,,kepler1580,2massj19035249+4121488,kic6026924,koi4276,wisej190352.48+412148.7,,,
TIC 120689253,tic120689253,,,,,,,,,kepler169,2massj19035997+4055095,kic5689351,koi505,wisej190359.97+405509.7,,,
TIC 120691237,tic120691237,,,,,,,,,kepler1060,2massj19040604+3937513,kic4544907,koi2024,wisej190406.03+393751.6,,,
TIC 120692092,tic120692092,,,,,,,,,kepler495,2massj19034336+3905532,kic3937519,koi221,wisej190343.37+390553.2,,,
TIC 120692095,tic120692095,,,,,,,,,kepler1549,2massj19041258+3905457,kic3937814,koi4084,wisej190412.58+390545.6,,,
TIC 120693011,tic120693011,,,,,,,,,kepler1308,2massj19034293+3831155,kic3426367,koi2662,wisej190342.91+383114.8,,,
TIC 120757718,tic120757718,,,,,,,,,tres1,2massj19040985+3637574,tyc2652013241,tres1a,wisej190409.82+363757.2,,,
TIC 120762000,tic120762000,,,,,,,,,kepler1299,2massj19043603+3724409,kic1995519,koi2634,,,,
TIC 120762990,tic120762990,,,,,,,,,kepler1034,2massj19042768+3758011,kic2693736,koi1976,wisej190427.69+375801.0,,,
TIC 120764338,tic120764338,,,,,,,,,kepler1495,2massj19043138+3846466,kic3629330,koi3418,,,,
TIC 120765183,tic120765183,,,,,,,,,kepler235,2massj19041898+3916419,kic4139816,koi812,wisej190418.97+391641.8,,,
TIC 120765800,tic120765800,,,,,,,,,kepler121,2massj19043889+3940407,kic4545187,koi223,wisej190438.90+394040.9,,,
TIC 120768052,tic120768052,,,,,,,,,kepler1599,2massj19045301+4109045,kic5860968,koi4384,wisej190453.00+410904.3,,,
TIC 120819731,tic120819731,,,,,,,,,kepler1691,2massj19050106+4101187,kic5775129,koi2802,wisej190501.05+410118.6,,,
TIC 120825510,tic120825510,,,,,,,,,kepler1271,2massj19052262+3724431,kic1996180,koi2534,wisej190522.63+372442.8,,,
TIC 120891972,tic120891972,,,,,,,,,kepler770,2massj19055770+3822296,kic3218908,koi1108,wisej190557.71+382229.6,,,
TIC 120896927,tic120896927,tyc6435004341,wisej022728.32273809.0,,,,,,,hd15337,2massj022728382738064,cd28784,cpd28228,hip11433,sao167802,tic120896927,toi402
TIC 120899838,tic120899838,,,,,,,,,kepler1701,2massj19062613+4153216,kic6428794,koi4054,wisej190626.12+415321.5,,,
TIC 120899945,tic120899945,,,,,,,,,kepler242,2massj19061576+4148302,kic6428700,koi853,wisej190615.76+414830.2,,,
TIC 120900025,tic120900025,,,,,,,,,kepler1554,2massj19061828+4144292,kic6349881,koi4121,wisej190618.26+414429.5,,,
TIC 120960812,tic120960812,,,,,,,,,kepler25,2massj19063321+3929164,gsc0312401264,kic4349452,koi244,kepler25a,tyc3124012641,wisej190633.20+392916.5
TIC 120961424,tic120961424,,,,,,,,,kepler277,2massj19061996+3904379,kic3939150,koi1215,wisej190619.97+390438.1,,,
TIC 120961632,tic120961632,,,,,,,,,kepler473,2massj19063122+3856441,kic3835670,koi149,wisej190631.22+385644.1,,,
TIC 120961712,tic120961712,,,,,,,,,kepler1535,2massj19062728+3853310,kic3732035,koi3966,wisej190627.28+385331.0,,,
TIC 120962548,tic120962548,,,,,,,,,kepler967,2massj19061393+3824193,kic3326377,koi1830,wisej190613.91+382419.1,,,
TIC 120963454,tic120963454,,,,,,,,,kepler1124,2massj19062262+3753285,kic2556650,koi2156,wisej190622.61+375328.6,,,
TIC 120964116,tic120964116,,,,,,,,,kepler1224,2massj19063018+3732142,kic2142522,koi2403,wisej190630.17+373214.3,,,
TIC 120973167,tic120973167,,,,,,,,,kepler1655,2massj19064546+3912428,kic4141376,koi280,wisej190645.48+391243.3,,,
TIC 121013472,tic121013472,,,,,,,,,kepler1567,2massj19064684+4017305,kic5084171,koi4202,wisej190646.83+401730.6,,,
TIC 121020728,tic121020728,,,,,,,,,kepler790,2massj19074010+3852199,kic3732821,koi1207,wisej190740.10+385220.0,,,
TIC 121021644,tic121021644,,,,,,,,,kepler1187,2massj19073408+3819067,kic3219995,koi2314,wisej190734.06+381906.5,,,
TIC 121022533,tic121022533,,,,,,,,,kepler575,2massj19075133+3749469,kic2557816,koi488,wisej190751.33+374946.5,,,
TIC 121108727,tic121108727,,,,,,,,,kepler475,2massj19081241+4012415,kic5084942,koi161,wisej190812.40+401241.2,,,
TIC 121112251,tic121112251,,,,,,,,,kepler518,2massj19082159+4122259,kic6029239,koi304,wisej190821.60+412225.6,,,
TIC 121113728,tic121113728,,,,,,,,,kepler1227,2massj19081593+4152296,kic6429812,koi2408,wisej190815.94+415229.7,,,
TIC 121114760,tic121114760,,,,,,,,,kepler776,2massj19090543+4138080,kic6272413,koi1129,wisej190905.42+413808.1,,,
TIC 121114997,tic121114997,,,,,,,,,kepler700,2massj19083703+4133568,kic6191521,koi847,wisej190837.03+413356.6,,,
TIC 121121775,tic121121775,,,,,,,,,kepler1185,2massj19085788+3919579,kic4247991,koi2311,wisej190857.88+391957.8,,,
TIC 121123361,tic121123361,,,,,,,,,kepler543,2massj19085249+3851450,kic3733628,koi387,wisej190852.49+385145.1,,,
TIC 121123737,tic121123737,,,,,,,,,kepler1464,2massj19085656+3845149,kic3632089,koi3308,wisej190856.56+384514.8,,,
TIC 121214078,tic121214078,,,,,,,,,kepler467,2massj19092707+3838585,kic3531558,koi118,wisej190927.09+383858.8,,,
TIC 121214185,tic121214185,sao67891,tyc3120009631,wisej190926.86+384250.7,,,,,,kepler21,2massj19092683+3842505,bd+383455,hd179070,hip94112,kic3632418,koi975,kepler21a
TIC 121214909,tic121214909,,,,,,,,,kepler796,2massj19091388+3908410,kic4043190,koi1220,wisej190913.89+390841.0,,,
TIC 121215172,tic121215172,,,,,,,,,kepler1143,2massj19091267+3917228,kic4142847,koi2210,wisej190912.67+391722.7,,,
TIC 121215710,tic121215710,,,,,,,,,kepler1581,2massj19092910+3936128,kic4548011,koi4288,wisej190929.11+393613.0,,,
TIC 121272493,tic121272493,,,,,,,,,kepler1401,2massj19095185+4045304,kic5520547,koi2990,wisej190951.84+404530.3,,,
TIC 121276638,tic121276638,,,,,,,,,kepler454,2massj19095484+3813438,kic3102384,koi273,kepler454a,wisej190954.86+381344.5,,
TIC 121276933,tic121276933,,,,,,,,,kepler771,2massj19094658+3805183,kic2837111,koi1110,wisej190946.58+380518.4,,,
TIC 121327187,tic121327187,,,,,,,,,kepler510,2massj19103720+3914394,kic4143755,koi281,wisej191037.19+391439.1,,,
TIC 121333541,tic121333541,,,,,,,,,kepler1276,2massj19112568+4032498,kic5350244,koi2555,wisej191125.68+403249.8,,,
TIC 121395435,tic121395435,,,,,,,,,kepler1550,2massj19110349+3817409,kic3103227,koi4091,wisej191103.50+381740.9,,,
TIC 121395761,tic121395761,,,,,,,,,kepler951,2massj19105701+3806524,kic2975770,koi1788,kepler951a,wisej191057.01+380652.7,,
TIC 121458206,tic121458206,,,,,,,,,kepler147,2massj19115418+3905138,kic3942670,koi392,wisej191154.17+390513.8,,,
TIC 121458495,tic121458495,,,,,,,,,kepler1139,2massj19114694+3913500,kic4144576,koi2202,wisej191146.94+391349.9,,,
TIC 121458707,tic121458707,,,,,,,,,kepler120,2massj19113399+3920208,kic4249725,koi222,wisej191133.97+392020.7,,,
TIC 121460918,tic121460918,,,,,,,,,kepler238,2massj19113530+4038161,kic5436502,koi834,wisej191135.30+403816.1,,,
TIC 121461701,tic121461701,,,,,,,,,kepler950,2massj19114957+4107491,kic5864975,koi1787,wisej191149.57+410749.0,,,
TIC 121462999,tic121462999,,,,,,,,,kepler1690,2massj19123760+4152406,kic6432345,koi2757,wisej191237.60+415240.2,,,
TIC 121465371,tic121465371,,,,,,,,,kepler1279,2massj19122295+4021574,kic5175024,koi2563,wisej191222.94+402157.3,,,
TIC 121467823,tic121467823,,,,,,,,,kepler794,2massj19123208+3859487,kic3839488,koi1216,wisej191232.08+385948.7,,,
TIC 121598758,tic121598758,,,,,,,,,kepler150,2massj19125618+4031152,kic5351250,koi408,wisej191256.18+403115.1,,,
TIC 121599740,tic121599740,,,,,,,,,kepler1423,2massj19125850+4106362,kic5865654,koi3071,wisej191258.50+410636.2,,,
TIC 121602473,tic121602473,,,,,,,,,kepler747,2massj19133996+4101472,kic5780460,koi1005,,,,
TIC 121603086,tic121603086,,,,,,,,,kic5437945,2massj19135396+4039048,koi3791,kepler460,wisej191353.92+403904.5,,,
TIC 121603556,tic121603556,,,,,,,,,kepler1320,2massj19134406+4022511,kic5175986,koi2708,wisej191344.06+402250.8,,,
TIC 121603761,tic121603761,,,,,,,,,kepler955,2massj19135314+4016112,kic5088591,koi1801,wisej191353.15+401611.3,,,
TIC 121603794,tic121603794,,,,,,,,,kepler130,2massj19134816+4014431,kic5088536,koi282,kepler130a,wisej191348.14+401442.7,,
TIC 121603852,tic121603852,,,,,,,,,kepler1556,2massj19133528+4012475,kic5088400,koi4127,wisej191335.26+401247.4,,,
TIC 121656582,tic121656582,,,,,,,,,kepler1493,2massj19141179+3833548,kic3433668,koi3415,wisej191411.80+383354.7,,,
TIC 121660143,tic121660143,,,,,,,,,kepler306,2massj19140928+4036581,kic5438099,koi1567,wisej191409.29+403657.9,,,
TIC 121660595,tic121660595,,,,,,,,,kepler1362,2massj19140925+4052375,kic5609593,koi2834,wisej191409.25+405237.5,,,
TIC 121660708,tic121660708,,,,,,,,,kepler131,2massj19140739+4056322,kic5695396,koi283,wisej191407.40+405632.4,,,
TIC 121660826,tic121660826,,,,,,,,,kepler1492,2massj19142330+4102111,kic5780930,koi3412,wisej191423.29+410210.9,,,
TIC 121660904,tic121660904,,,,,,,,,kepler7,2massj19141956+4105233,kic5780885,koi97,wisej191419.55+410523.1,,,
TIC 121729607,tic121729607,,,,,,,,,kepler698,2massj19140239+4118063,kic6032497,koi845,wisej191402.43+411806.2,,,
TIC 121731834,tic121731834,,,,,,,,,kepler65,2massj19144528+4109042,kic5866724,koi85,tyc31259761,wisej191445.29+410904.0,,
TIC 121732589,tic121732589,,,,,,,,,kepler903,2massj19150504+4039510,kic5438757,koi1601,wisej191505.04+403950.9,,,
TIC 121733900,tic121733900,,,,,,,,,kepler1470,2massj19144680+3952595,kic4736644,koi3330,wisej191446.78+395259.2,,,
TIC 121734006,tic121734006,,,,,,,,,kepler1042,2massj19144054+3949264,kic4736569,koi1996,wisej191440.54+394926.3,,,
TIC 121734202,tic121734202,,,,,,,,,kepler626,2massj19144767+3942298,kic4644604,koi628,wisej191447.66+394229.5,,,
TIC 121734474,tic121734474,,,,,,,,,kepler578,2massj19150118+3933491,kic4454752,koi496,wisej191501.19+393349.2,,,
TIC 121785676,tic121785676,,,,,,,,,kepler1155,2massj19151693+3931221,kic4454934,koi2245,wisej191516.94+393122.3,,,
TIC 121785939,tic121785939,,,,,,,,,kepler288,2massj19153994+3935409,kic4455231,koi1332,wisej191539.95+393541.0,,,
TIC 121786521,tic121786521,,,,,,,,,kepler1500,2massj19153199+3944404,kic4645174,koi3437,wisej191532.01+394440.6,,,
TIC 121786630,tic121786630,,,,,,,,,kepler319,2massj19151486+3946143,kic4644952,koi1805,wisej191514.86+394614.3,,,
TIC 121787669,tic121787669,,,,,,,,,kepler691,2massj19151488+4002002,kic4913852,koi818,wisej191514.83+400159.8,,,
TIC 121789066,tic121789066,,,,,,,,,kepler904,2massj19151750+4023205,kic5177104,koi1603,wisej191517.49+402320.4,,,
TIC 121795464,tic121795464,,,,,,,,,kepler701,2massj19155860+4137598,kic6276477,koi849,wisej191558.60+413759.8,,,
TIC 121796770,tic121796770,,,,,,,,,kic5951458,2massj19155797+4113229,kepler456,wisej191557.98+411323.0,,,,
TIC 121865123,tic121865123,,,,,,,,,kepler1576,2massj19161775+4021576,kic5177859,koi4246,wisej191617.74+402157.6,,,
